,S. No.,Name of State / UT,Total Confirmed cases (Including 76 foreign Nationals) ,Cured/Discharged/Migrated,Death
0,1,Andaman and Nicobar Islands,11,10,0
1,2,Andhra Pradesh,534,20,14
2,3,Arunachal Pradesh,1,0,0
3,4,Assam,35,5,1
4,5,Bihar,80,37,1
5,6,Chandigarh,21,9,0
6,7,Chhattisgarh,33,23,0
7,8,Delhi,1640,51,38
8,9,Goa,7,6,0
9,10,Gujarat,930,73,36
10,11,Haryana,205,43,3
11,12,Himachal Pradesh,35,16,1
12,13,Jammu and Kashmir,314,38,4
13,14,Jharkhand,28,0,2
14,15,Karnataka,315,82,13
15,16,Kerala,395,245,3
16,17,Ladakh,18,14,0
17,18,Madhya Pradesh,1120,64,53
18,19,Maharashtra,3205,300,194
19,20,Manipur,2,1,0
20,21,Meghalaya,7,0,1
21,22,Mizoram,1,0,0
22,23,Nagaland#,0,0,0
23,24,Odisha,60,19,1
24,25,Puducherry,7,1,0
25,26,Punjab,186,27,13
26,27,Rajasthan,1131,164,3
27,28,Tamil Nadu,1267,180,15
28,29,Telengana,700,186,18
29,30,Tripura,2,1,0
30,31,Uttarakhand,37,9,0
31,32,Uttar Pradesh,805,74,13
32,32,West Bengal,255,51,10
